0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the artefact (description of the item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,0
0,,,,,,,,,,,,,Artefact identity,,,,Related entities,,,Artefact typology,,,,,,Artefact format,,,,,,Copper-plate Format,,,,,,,,,Place of original exposition,,Place of discovery,,,,,,,Place of preservation,,,,,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the artefact,Designation,Alternative designation,Alternative designation,Identifier(s) of the text(s),Identifier of the conglomerate artefact,Identifier of the monument,Artefact type 1,Material type 1,Reuse,Artefact type 2,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Weight,Weight other,Binding hole,Binding ring,Preservation of seal,Sealing technique,Height of the seal,Width of the seal,History of the artefact,Remarks,Place of original exposition,Place of original exposition ID,Place of discovery,Place of discovery ID,Place of discovery coordinates,Discovery events,Date of discovery events,Discovery events,Date of discovery events,Collection or place of preservation,Inventory number,Collection ID or place of preservation ID,Affirming in situ status,Place of preservation coordinates,Preservation events,Date of preservation events,Preservation events,Date of preservation events,Preservation events,Date of preservation events,Governmental rights holder,Institution or private person,Distribution rights of the artefact,Identifier of the surrogate,Identifier of the digital image,0
0,Description of the fields,Digital identifier of the artefact. Syntax: ART<corpus>000001,Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the artefact. Syntax: ART<corpus>000001",Designation of the artefact,Alternative designation(s),Alternative designation(s),"Identifier(s) of the text on the artefact(s), if there is more than one text on the artefact, separate the identifiers by $.",Identifier of the conglomerate artefact to which the artefact pertains,Identifier of the monument to which the artefact pertains,Artefact type,Material type,"No by default, write yes if you'r encoding a case of reuse",Artefact type,Material type,Iconography and/or decoration observed on the artefact — free text,Height of the artefact,Width of the artefact,Depth of the artefact,Diameter of the artefact,Circumference of the artefact,Weight of the artefact,"Other relevant weight(s), e.g. seal, ring — free text",Number of binding hole(s) observed,Number of binding rings preserved,Indicate the presence of seal(s) by yes or no,Type of seal,Height of the seal matrix,Width of the seal matrix,Description of what is known or recorded about the origin and subsequent history of the artefact (free text),Remarks on artefact-related metadata (free text),Name of the place where the artefact was originally exposed — don't fill in if place ID is already available,ID of the place where the artefact was originally exposed,Place where the artefact was discovered — don't fill in if place ID is already available,ID of the place where the artefact was discovered,Coordinates if you have a specific topographic data,type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),Collection or place (if the artefact remains in situ) where the artefact is currently preserved — don't fill in if collection ID is already available,Inventory number(s) of the artefact,ID of the collection (institution or private collection) or place of preservation ID (if the artefact remains in situ),The artefact has remained in situ,Coordinates if you have a specific topographic data (exclusively for in situ artefact),type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),The governmental holder of (property) rights to the artefact,Institution or private person authorizing access to the artefact,Licence applicable to the artefact,Identifier(s) of the related surrogate(s). Use $ to separate the identifiers.,Identifier(s) of the related digital image(s). Use $ to separate the identifiers.,0
,,ARTDaksinaKosala000001,ART000001,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000001,ART000001,,,INSDk00003,,,documentary - plate_(copper-plate),metal - copper_alloy,,,,,,,,,,,,1,0,no,not applicable,,,"The single plate was discovered in a field at Rawan and was in private possession for about 15 years. Afterwards, it was purchased and preserved in the Rānī Durgāvatī Museum at Jabalpur.",,,,Malhār,,,find,c. 1964,,,,,,,,,,,,,,,,All rights reserved,,DHARMA_ ART000001_1.1v,
,,ARTDaksinaKosala000002,ART000002,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000002,ART000002,,,INSDk00017,,,documentary - plate_(copper-plate),metal - copper_alloy,,,,,,,,,,,,1,0,no,not applicable,,,"At some point before 1957, when the single copperplate was first published, it was discovered while digging a plot of land at Pokhra as part of a set complete with ring. Due to a quarrel between the diggers, the decision was made to divide the set and only the present plate survived (whereas the rest of the set was melted down). Afterwards, it was preserved in the possession of an inhabitant of Rājim.",,,,Pokhra,,,excavation,first half nineteenth century,,,Private possession (presumably),,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000003,ART000003,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000003,ART000003,,,INSDk00021,,,documentary - plate_(copper-plate),metal - copper_alloy,,,,,,,,,,,,1,0,no,not applicable,,,"At some point in the nineteen seventies, the single plate was found at Būrhīkhār by a man named Pandey, whose family has preserved the plate ever since.",,,,Būrhīkhār,,,find,nineteen seventies,,,Private possession in Malhār (Pandey),,,,,,,,,,,,,All rights reserved,,DHARMA_ ART000003_1.2r,
,,ARTDaksinaKosala000004,ART000008,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000004,ART000008,,,INSDk00048,,,documentary - plate_(copper-plate),metal - copper_alloy,,,,,,,,,,,,1,0,no,not applicable,,,"At some point before 1995, when the single copperplate was first published, it was found in the possession of a school teacher at Būrhīkhār.",,,,Būrhīkhār,,,find,second half nineteenth century,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000005,ART000009,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000005,ART000009,,,INSDk00049,,,documentary - plate_(copper-plate),metal - copper_alloy,,,,,,,,,,,,1,0,no,not applicable,,,,,,,Malhār,,,,,,,Private possession in Malhār (Kulab Singh),,,,,,,,,,,,,All rights reserved,,DHARMA_ ART000009_1.1v,
,,ARTDaksinaKosala000006,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000007,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000008,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000009,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000010,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000011,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000012,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000013,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
