0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the conglomerate artefact (description of the item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,
0,,,,,,,,,,,,,Conglomerate artefact identity,,,,Related entities,,,Conglomerate artefact typology,,,,,Conglomerate artefact format,,,,,,Copper-plates set format,,,,,,,Place of original exposition,,Place of discovery,,,,,,,Place of preservation,,,,,,,,,,,Rights,,,,
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the conglomerate artefact,Designation,Alternative designation,Alternative designation,Identifier(s) of the text(s),Identifier(s) of the artefact(s),Identifier of the monument,Artefact type 1,Artefact type 2,Material type 1,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Weight,Binding ring,Preservation of seal,Sealing technique,Height of the seal,Width of the seal,History of the artefact,Remarks,Place of original exposition,Place of original exposition ID,Place of discovery,Place of discovery ID,Place of discovery coordinates,discovery events,discovery events,discovery events,discovery events,Collection or place of preservation,Inventory number,Collection ID or place of preservation ID,Affirming in situ status,Place of preservation coordinates,preservation events,preservation events,preservation events,preservation events,preservation events,preservation events,Governmental rights holder,Institution or private person,Distribution rights of the artefact,Identifier of the surrogate,Identifier of the digital image
0,Description of the fields,"Digital identifier of the conglomerate artefact. 
Syntax: CONART00001",Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the conglomerate artefact. 
Syntax: CONART00001",Designation of the conglomerate artefact,Alternative designation(s),Alternative designation(s),"Identifier(s) of the text(s) on the conglomerate artefact, if there is more than one text on the conglomerate artefact, separate the identifiers by $","Identifier(s) of the artefact(s) that pertains to the conglomerate artefact, if there is more than one artefact, separate the identifiers by $",Identifier of the monument that pertains to the conglomerate artefact,Artefact type,Artefact type,Material type,Material type,Iconography and/or decoration observed on the artefact (free text),Global height,Global width,Global depth,Global diameter,Global circumference,Global weight,Number of binding rings preserved,Indicate the presence of seal(s) by yes or no,Type of seal,Height of the seal matrix,Width of the seal matrix,Description of what is known or recorded about the origin and subsequent history of the artefact (free text),Remarks on conglomerate artefact-related metadata (free text),Place where the artefact was originally exposed — don't fill in if place ID is already available,ID of the place where the artefact was originally exposed,Place where the artefact was discovered — don't fill in if place ID is already available,ID of the place where the artefact was discovered,Coordinates if you have a specific topographic data,type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),Collection or place (if the artefact remains in situ) where the artefact is currently preserved — don't fill in if collection ID is already available,Inventory number(s) of the artefact,ID of the collection (institution or private collection) or place of preservation ID (if the artefact remains in situ),The artefact has remained in situ,Coordinates if you have a specific topographic data (exclusively for in situ artefact),type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),The governmental holder of (property) rights to the artefact,Institution or private person authorizing access to the artefact,Licence applicable to the artefact,Identifier(s) of the related surrogate(s). Use $ to separate the identifiers.,Identifier(s) of the related digital image(s). Use $ to separate the identifiers.
,,CONARTDaksinaKosala000001,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000002,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000003,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000004,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000005,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000006,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000007,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000008,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000009,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
